name;urls;description
Flex;http://givemeflex.com, https://twitter.com/@givemeflex, http://crunchbase.com/organization/flex-557b;A soft skills resume built from video game achievements.
Flexia;http://flexiapilates.com, http://crunchbase.com/organization/flexia;Flexia is a connected fitness company that brings the Pilates studio experience into your living room with our Pilates Reformer and online studio of classes.
FlexMinder;http://flexminder.com, https://twitter.com/@flexminder, http://crunchbase.com/organization/flexminder;Simplifying Flexible Spending
Flexpay;http://flexpay.co.ke, https://twitter.com/@flexpay_ke, http://crunchbase.com/organization/flexpay-2#section-overview;Flexpay is transforming the layby/layaway industry by digitizing the entire process. Changing Africa, village by village.
Flextrip;http://flextrip.com, https://twitter.com/@flextrip, http://crunchbase.com/organization/flextrip;API serving tours & activities to the travel industry
Flikshop;http://flikshop.com, https://twitter.com/@flikshop, http://crunchbase.com/organization/flikshop;Helps families stay in touch with incarcerated loved ones through digitally created postcards
Flinja;http://flinja.com, https://twitter.com/@flinjaworld, http://crunchbase.com/organization/flinja;Connecting talented individuals to work that allows them to show off their skills
Flipd;http://flipdapp.co, https://twitter.com/@Flipd_app, http://crunchbase.com/organization/flipd;The Digital Wellness Company
Fliqpay;http://fliqpay.com, https://twitter.com/@fliqpay, http://crunchbase.com/organization/fliqpay;A cross-border payment system which makes it seamless and affordable for Africans to digitally transact with the rest of the world.
Flitto;http://flitto.com, https://twitter.com/@Flitto_Inc, http://crunchbase.com/organization/flitto;Learn other languages by translating your favorite celebrities' twitters, comic, or travel reviews! Download FLITTO application from Appstore and Android
FLOD AI;http://flod.ai, https://twitter.com/@flod_ai, http://crunchbase.com/organization/flod;Predictive Solution for static structure allowing to prolong the useful life of assets, and eliminating the need of routine inspections.
Flomio;http://flomio.com, https://twitter.com/@flomio, http://crunchbase.com/organization/flomio;NFC and RFID solutions for Developers
Floop Edu;http://floopedu.com, https://twitter.com/@floopedu, http://crunchbase.com/organization/floopedu;Helps teachers give faster feedback while empowering students with lifelong feedback skills.
Flora Coating;http://floracoating.com, https://twitter.com/@floracoatings, http://crunchbase.com/organization/flora-coatings;Develops and manufactures high performance, smart, and sustainable coatings
Flourish;http://weflourish.com, https://twitter.com/@weflourishapp, http://crunchbase.com/organization/flourish-4248;Flourish helps women get healthy for good.
Flow.ai;http://flow.ai, https://twitter.com/@theflowai, http://crunchbase.com/organization/flow-ai-2;Professional tools to develop, deploy and manage Alexa skills and Google Home actions without coding.
flowpay.io;http://flowpay.io, http://crunchbase.com/organization/flowpay-b132;One-Click Smart Financing
Flowtify;http://flowtify.de, https://twitter.com/@flowtify, http://crunchbase.com/organization/flowtify;iOS workflow management system with a focus on HACCP reporting for HoReCa and franchising businesses.
Fluffy;http://joinfluffy.com, https://twitter.com/@joinfluffy, http://crunchbase.com/organization/strelka;Fluffy help you be the best pet parent possible by leveraging your pet's data to recommend personalised educational content, pet-care products and insurance. Fluffy is loved by 10,000 users and counting!
FLUIX;http://fluixpro-line.godaddysites.com, https://twitter.com/@fluixcooling, http://crunchbase.com/organization/fluix-inc;FLUIX unlocks the full power of high performance computing by eliminating the challenge of heat through Turbulent Liquid Cooling.
Flux;http://tryflux.com, https://twitter.com/@tryflux, http://crunchbase.com/organization/flux-systems;Receipts Reimagined.
Flux Hybrids;http://fluxhybrids.com, https://twitter.com/@fluxhybrids, http://crunchbase.com/organization/flux-hybrids;Flux Hybrids has developed a system that can convert any vehicle to a plug-in hybrid that pays for itself in savings within the remaining life of the vehicle.
Flybridge Holdings;http://qwyk.io, https://twitter.com/@qwyk_io, http://crunchbase.com/organization/qwyk;At Qwyk we're building the future of logistics, driven by data and innovative application that connect customers and logistics providers.
Fly By Jing;http://flybyjing.com, https://twitter.com/@flybyjing, http://crunchbase.com/organization/fly-by-jing;Deeply flavorful, all natural Chinese food
Flyte;http://flyteai.com, https://twitter.com/@flytenotes, http://crunchbase.com/organization/flyte-c493;AI platform that helps sales teams sell more and sell better by extracting conversational intelligence from client calls
FlyThere;http://flythere.com, https://twitter.com/@FlyThereNow, http://crunchbase.com/organization/flythere;FlyThere is an immersive way to experience the world through the eyes of a drone.
FlyWire;http://flywirecameras.com, https://twitter.com/@flywirecameras, http://crunchbase.com/organization/flywire;We work with fishers & seafood suppliers to provide at-sea verification of sustainable fishing, translating video-enabled fisher data into actionable insights
Focal Point;http://getfocalpoint.com, https://twitter.com/@focalpointps, http://crunchbase.com/organization/focal-point;Streamlining enterprise procurement by utilizing best in class processes enabled by workflow automation.
FOMO Group Holdings;http://fomo.travel, https://twitter.com/@fomotravels, http://crunchbase.com/organization/fomotravel;Lay-buy mechanism for travel that allows keen travellers to save towards their travel goals and avoid all types of interest and debt.
Fonbnk;http://fonbnk.com, https://twitter.com/@fonbnk1, http://crunchbase.com/organization/fonbnk;We turn your mobile SIM card into a bank.
Food for All;http://foodforall.com, https://twitter.com/@FoodForAllapp, http://crunchbase.com/organization/foodforall-us;Food for All is a Marketplace for Surplus Food. Allowing restaurants to sell their extra meals to our users for at least 50% off. рџЊЋрџ’°рџЌ”
Food Genius;http://getfoodgenius.com, https://twitter.com/@getfoodgenius, http://crunchbase.com/organization/food-genius;big data for foodservice
Foodzie;http://foodzie.com, https://twitter.com/@foodzie, http://crunchbase.com/organization/foodzie;Web-based artisan food subscription
Footmarks;http://footmarks.com, https://twitter.com/@footmarks_com, http://crunchbase.com/organization/footmarks;Footmarks is a beacon technology platform brands use to create location-aware and personalized experiences for consumers.
Forecastr;http://forecastr.co, https://twitter.com/@forecastr, http://crunchbase.com/organization/forecastr;TurboTax for Financial Modeling. Our online software helps founders build amazing financial models, master their numbers, make better decisions, and get funded!
Forefront;http://getforefront.co, https://twitter.com/@_Forefront, http://crunchbase.com/organization/forefront-460a;Our human-like AI recruiting assistants like Toni and Lee help employers hire top Gen-Z talent.
Forestry.io;http://forestry.io, https://twitter.com/@forestryio, http://crunchbase.com/organization/forestry;Forestry offers developers a new way to build and manage websites.
Foreverly Co;http://foreverly.co, https://twitter.com/@foreverlyco, http://crunchbase.com/organization/foreverly;Our mission is to make dealing with death a little less stressful.
Fortified Bicycle;http://fortifiedbike.com, https://twitter.com/@FORTIFIEDbike, http://crunchbase.com/organization/fortified-bicycle;Bike gear that survives the city. Guaranteed against theft.
FortifyEdge;http://fortifyedge.com, http://crunchbase.com/organization/fortifyedge;Fortifyedge is on-device cybersecurity software that allows us to deploy machine learning ultra-efficiently on the smart device, so you can detect attacks in real-time.
Forwardlane;http://forwardlane.com, https://twitter.com/@Forward_lane, http://crunchbase.com/organization/forwardlane;ForwardLane is bringing personalized, ultra-high net worth investment intelligence to mass affluent investors.
Fosbury;http://fosbury.co, https://twitter.com/@wearefosbury, http://crunchbase.com/organization/fosbury;Drive store traffic and repeat business with mobile wallets campaigns
Fostrum;http://fostrum.com, https://twitter.com/@Fostrum_fintech, http://crunchbase.com/organization/fostrum#section-overview;The virtual bank for digital & web-enabled businesses: providing intangible business models with new financing solutions.
Foto Visura;http://visura.co, https://twitter.com/@visuramedia;Visura is a marketplace for publishers to license visual content from freelancers.
Foundry Six;http://foundrysix.com, https://twitter.com/@FoundrySix, http://crunchbase.com/organization/foundry-six;Building an augmented reality gaming platform for the next generation of game developers. What Steam is for console gaming, we are for AR.
fragPaul;http://frag-paul.de, https://twitter.com/@fragPaul, http://crunchbase.com/organization/fragpaul;Paul is a digital and personal HR assistant for restaurants
Frame Health;http://framehealth.com, https://twitter.com/@FrameHealth, http://crunchbase.com/organization/frame-health;Frame Health identifies & diagnoses high cost non-adherent patients and prescribes tailored treatment plans that improve adherence and outcome, and save money.
fraudmarc;http://fraudmarc.com, https://twitter.com/@fraudmarc, http://crunchbase.com/organization/fraudmarc;We work with all major mailbox providers to identify your valid mail sources. Legitimate senders enjoy improved deliverability & phishing attempts are blocked.
Freedom Audio;http://getdrifter.com, https://twitter.com/@Freedomaud, http://crunchbase.com/organization/freedom-audio;Freedom Audio brings music to where it hasn't gone before.
Freeflow;http://freeflow.dev, https://twitter.com/@FreeflowDev, http://crunchbase.com/organization/freeflow-services;The blockchain developer marketplace for web3 projects.
Freeman Capital Management;http://freemancapital.co, https://twitter.com/@freemancapital, http://crunchbase.com/organization/freeman-capital;Closing wealth gaps through scalable, precise and human-centric financial planning
Freeplay App;http://freeplayapp.com, http://crunchbase.com/organization/freeplay;Move Ollie is a fitness game to help people 55 and older exercise more.
FreeTextbooks;http://freetextbooks.com, https://twitter.com/@freetextbooks, http://crunchbase.com/organization/freetextbooks;Crowdsourced campus bookstores.
Freight Farms;http://freightfarms.com, https://twitter.com/@FreightFarms, http://crunchbase.com/organization/freight-farms;A local farming solution for global food supply
Frenemies;http://fanium.com, https://twitter.com/@FaniumFantasy, http://crunchbase.com/organization/fanium;With Fanium's easy league creation, you can leverage social media to invite friends and start drafting in no time.
Fresco;http://makeitfresco.com, https://twitter.com/@revoilution_it, http://crunchbase.com/organization/revoilution;Fresco, the вЂњNespresso of OilвЂќ is the only system to consume fresh olive oil, in any season of the year, 100% natural and customized.
Freshline;http://freshline.io, https://twitter.com/@coastlinemarket, http://crunchbase.com/organization/coastline;Connecting restaurants and commercial seafood harvesters.
Friendly Shoes;http://friendlyshoes.com, https://twitter.com/@friendlyshoesus;Inclusive and adaptive footwear without sacrificing style or comfort
frintit;http://frintit.at, https://twitter.com/@frintit, http://crunchbase.com/organization/frintit;The AdSense of Direct Mail
FTN Network;http://ftnfantasy.com;FTN Network is a iGaming affiliate, fantasy sports, and sports betting subscription platform built to increase user success rates through the use of proprietary data, models, tools, and entertaining content. Think Action Network meets Pro Football Focus
Fueloyal;http://fueloyal.com, https://twitter.com/@fueloyal, http://crunchbase.com/organization/fueloyal#/entity;Preventing fuel theft and fuel card misuse with a smart fuel cap and enables fuel purchase optimization through an analytics platform.
FullContact;http://fullcontact.com, https://twitter.com/@FullContact, http://crunchbase.com/organization/fullcontact;Cloud based contact management
Functionland;http://fx.land, https://twitter.com/@functionland, http://crunchbase.com/organization/functionland;Replacing cloud storage and service subscription economy by introducing a new category of products, called Blockchain-Attached Storage
Funeria;http://funeria.de, https://twitter.com/@Funeria_de, http://crunchbase.com/organization/funeria;Funeria finally brings transparency to an antiquated industry through its' combination of technology and an innovative business model.
Funnel;http://fnl.digital, https://twitter.com/@huenico, http://crunchbase.com/organization/funnel-8638;Funnel is a creative agency that provides digital and data-driven advertising, media marketing, and quantitative analysis services.
Future;http://futurescore.org, https://twitter.com/@thefuturescore, http://crunchbase.com/organization/future;Democratizing climate smart living.
FutureFit AI;http://futurefit.ai, https://twitter.com/@FutureFitAI, http://crunchbase.com/organization/futurefit-ai;The GPS to help workers navigate career transitions.
Futury;http://futury.io, https://twitter.com/@futuryio, http://crunchbase.com/organization/jobeek;Futury helps engineers to make data-driven career decisions.
FynOps;http://fynops.com, https://twitter.com/@AccountedCloud, http://crunchbase.com/organization/accounted-inc;A fully managed autonomous platform for finance, accounting and back office operations.
Fyyne;http://fyyne.com, https://twitter.com/@fyynehq, http://crunchbase.com/organization/black-hair-network;Fyyne makes it easy to discover and book the best beauty artists near you in less than 5 clicks. Fyyne is also the operating system for the independent beauty artist. Using Fyyne, beauty artists are able to build their brand, connect directly with their customers and process payments. With headquarters in Toronto and a presence in major cities in the United States, Canada, and United Kingdom, Fyyne is the go to stop for beauty service bookings. For more information, please visit fyyne.com or download the Fyyne app from the App Store or Play Store.
Gable;http://gable.to, https://twitter.com/@gable_inc, http://crunchbase.com/organization/gable-3bcd;Gable connects companies and their employees to flexible, scalable, and cost-effective hybrid offices.
gaga;http://gaga-app.com, https://twitter.com/@GagaApp_, http://crunchbase.com/organization/gaga;A marketplace to find live and interactive online activities for kids.
Gaia;http://trygaia.com, https://twitter.com/@gaiadesignmx, http://crunchbase.com/organization/gaia-fba9;Gaia is the easiest platform for investing in companies that take responsibility for a sustainable future.
Galaxy AI;http://galaxy.ai, https://twitter.com/@AIgalaxy, http://crunchbase.com/organization/nanotechgalaxy#/entity;Galaxy AI is an artificial intelligence B2B SaaSsolution which analyzes images and predicts damage and claim estimate for insurance carriers.
Gales;http://weargales.com, https://twitter.com/@weargales, http://crunchbase.com/organization/gales-inc;Gales Smart PPE FootwearВ® - The first and only antimicrobial, easy to clean, protective shoes for healthcare.
Gamefuly;http://gamefuly.com, https://twitter.com/@gamefuly, http://crunchbase.com/organization/gamefuly-inc;All-in-one content studio for gamers to create, manage, and share video game content with their audience.
GameOn;http://gameon.app, https://twitter.com/@gameonfanapp, http://crunchbase.com/organization/gameon;We turn complicated stats and odds into a free and simple game for the everyday fan, with real cash prizes.
GameplAI;http://gamepl.ai;We are a software development platform that enables sports betting operators to offer fast, new betting opportunities through machine learning and real-time technology. With GameplAI every on field event becomes a market.
gameSense Sports;http://gamesensesports.com, https://twitter.com/@GameSenseSports, http://crunchbase.com/organization/gamesense-sports;Our mission is to make cognitive training as universal, accessible & affordable as physical training for all sports participants - amateur thru pro.
Gamesight;http://innervate.us, https://twitter.com/@innervateinc, http://crunchbase.com/organization/innervate;Helping games grow
Game Theory;http://gametheory.in, http://crunchbase.com/organization/game-theory-3df5;A fitness experience that makes casual sports convenient, addictive, and exciting.
GameWisp;http://gamewisp.com, https://twitter.com/@gameWisp, http://crunchbase.com/organization/http:;Monetization platform for gaming video celebrities
Gammanics Ltd.;http://ndb.technology, https://twitter.com/@ndbtechnology, http://crunchbase.com/organization/ndb;Green hydrogen from waste recycling
GamY;http://gamyworks.com, http://crunchbase.com/organization/gamy;Artificially intelligent battery management systems.
Ganaz;http://ganaz.com, https://twitter.com/@GanazLabor, http://crunchbase.com/organization/ganaz-inc;Connecting good employers with good workers, Ganaz is like LinkedIn and Glassdoor for farmers and farmworkers.
Ganymede Games;http://ganymede.games, https://twitter.com/@ganymede_games, http://crunchbase.com/organization/ganymede-games;For adult gamers with busy lives, Ganymede builds bite-sized episodic games.
Gardenio;http://growgardenio.com, https://twitter.com/@growgardenio, http://crunchbase.com/organization/gardenio;Gardenio is a new kind of digital garden club membership and social club for new food growers, managed via our mobile app.
Garmentory;http://garmentory.com, https://twitter.com/@garmentory, http://crunchbase.com/organization/garmentory;Shop the best of the sale from boutiques and designers
Gastrozentrale;http://gastrozentrale.de, https://twitter.com/@Gastrozentrale, http://crunchbase.com/organization/gastrozentrale;Gastrozentrale.de - the focal point for all those who are looking for high-quality gastronomy technology and want thereby save even more .
Gather Data;http://gatherdata.co, https://twitter.com/@gatherinsurance, http://crunchbase.com/organization/gather-097a;Gather is a personalised web meeting platform shaped around your specific business needs.
Gatsby;http://trygatsby.com, https://twitter.com/@trygatsby, http://crunchbase.com/organization/gatsby-2349;Options trading App.
Gelatex;http://gela-tex.com, https://twitter.com/@gela_tex, http://crunchbase.com/organization/gelatex;Gelatex is the catalyst for cultured meat, wound care, filtration, and energy storage by providing up to 100 times cheaper and scalable nanofiber production.
Generable;http://generable.com, https://twitter.com/@GenerableHQ, http://crunchbase.com/organization/generable#section-overview;State-of-the-art platform for oncology clinical trials from first in human to registration.
General Systems;http://generalsystems.tech, http://crunchbase.com/organization/general-systems;A sustainability focused, robotics company dedicated to transforming the global construction sector.
Genetrainer;http://genetrainer.com, https://twitter.com/@genetrainer, http://crunchbase.com/organization/genetrainer;Genetrainer helps people get fit more efficiently than any other technology on the market through personalised calibration of activity & wearable data.
geoFluxus;http://geofluxus.com, https://twitter.com/@GFluxus, http://crunchbase.com/organization/geofluxus;We map waste
Geolumina;http://geolumina.ai, http://crunchbase.com/organization/geolumina;Intuitive AI with geologic insight
GeoPalz;http://geopalz.com, https://twitter.com/@GeoPalz, http://crunchbase.com/organization/geopalz;GeoPalz suite of family fitness products are designed to get families active!
Geopipe;http://geopipe.ai, https://twitter.com/@geopipeinc, http://crunchbase.com/organization/geopipe-inc;Immersive virtual copies of the world, built by algorithms, for games, SFX, simulation, architecture, real estate, VR/AR, and beyond.
Geospiza;http://geospiza.us, https://twitter.com/@HelloGeospiza, http://crunchbase.com/organization/geospiza-55af;Geopsiza helps emergency managers and elected officials save lives in disaster by harnessing big data and translating it into forward leaning decision support.
GeoSpock;http://geospock.com, https://twitter.com/@Geospock, http://crunchbase.com/organization/geospock-ltd-;GeoSpock provides sub-second big data analysis tools to organisations ingesting billions or even trillions of data points per day.
Geowox;http://geowox.com, https://twitter.com/@GeowoxInsights, http://crunchbase.com/organization/geowox;1-Hour home valuations for a fully digital and speedy mortgage approval to generate higher conversions for lenders.
GestSure;http://gestsure.com, https://twitter.com/@gestsure, http://crunchbase.com/organization/gestsure;Gestural Interfaces, Medical Devices
GET DUCK PTY LTD;http://getduck.io, https://twitter.com/@getduck_io, http://crunchbase.com/organization/get-duck;Get DUCK is a mobile ordering solution for sporting venues. To view the company one-page summary click here - https://app.buildmemo.com/s/fnbb5g
GetHenry;http://cycle.eco, https://twitter.com/@CYCLE_mobility, http://crunchbase.com/organization/cycle-5106;Cycle
GetJenny;http://getjenny.com, https://twitter.com/@getjenny, http://crunchbase.com/organization/jenny;The open source conversational engine powering the communications of the future
Getro;http://getro.com, https://twitter.com/@monday_vc, http://crunchbase.com/organization/monday-2;Getro makes hiring easier by connecting employers to referred professionals in their network.
Giftcannon;http://giftcannon.com, https://twitter.com/@GiftCannon, http://crunchbase.com/organization/giftcannon;GiftCannon is an app for mobile gifting, allowing users to instantly send gifts using their smartphones.
Gigmile;http://gigmile.com;Building the services and financial infrastructure for the gig economy in Africa
Gig Wage;http://gigwage.com, https://twitter.com/@GigWage, http://crunchbase.com/organization/visage-payroll;Modern 1099 gig payments for the future of work.
GIGXPAD;http://gigxpad.com, https://twitter.com/@gigxpad;GIGXPAD is a full service digital asset and cross-border payment platform that focuses on simplifying the process of saving, investing and spending digital assests
Gilded;http://gilded.finance, https://twitter.com/@GildedFinance, http://crunchbase.com/organization/gilded;Crypto Payments and Accounting Automation
Gildform;http://gildform.com, https://twitter.com/@gildform, http://crunchbase.com/organization/gildform;Gildform is an on-demand jewelry manufacturing company.
Gimme Media;http://gimmeradio.com, https://twitter.com/@gimmeradio, http://crunchbase.com/organization/gimme-radio-inc;Building Highly Engaged Communities for the Passionate Fan
GINGER.IO;http://ginger.io, https://twitter.com/@ginger_io, http://crunchbase.com/organization/crunchbase_Ginger;Big data, better health
Gini Health;http://ginihealth.com, https://twitter.com/@ginihealth, http://crunchbase.com/organization/gini-health;Gini Health's data informed individualized approach helps people to get optimal nutrition and immunity to fight viruses and maximize health.
Girbil;http://unbird.com, https://twitter.com/@unbird, http://crunchbase.com/organization/unbird;Unbird's mission is to help product teams build products customers love by making it easier to understand customer feedback at scale.
GiveForward;http://giveforward.com, https://twitter.com/@GiveForward, http://crunchbase.com/organization/giveforward;GiveForward provides personalized fundraising web pages so friends and family can send support to a loved one in need.
Given Goods;http://givengoods.co, https://twitter.com/@GivenGoods, http://crunchbase.com/organization/given-goods;Marketplace for products that give back
Glade;http://glade.ng, https://twitter.com/@gladebanking, http://crunchbase.com/organization/gladepay;A fintech startup that enables SME's to have a global reach through offering cross border payments and multi-currency accounts
Glamera;http://business.glamera.com, https://twitter.com/@glameraegy, http://crunchbase.com/organization/glamera;SaaS to accelerate business of the beauty services providers and products. From beauty tech to Fintech.
Glider;http://glider.com, https://twitter.com/@glider_com, http://crunchbase.com/organization/glider;Fixing secure document collaboration
Glidera;http://glidera.io, https://twitter.com/@gliderainc, http://crunchbase.com/organization/glidera;Glidera enables developers to add bitcoin buying and selling services into their applications.
Glimr;http://glimr.io, https://twitter.com/@getglimr, http://crunchbase.com/organization/glimr;Glimr provides world-class geolocation tools for media publishers
Global EIR;http://globaleir.org, https://twitter.com/@globaleir, http://crunchbase.com/organization/global-eir-coalition;Global EIR is a 501c3 nonprofit that increases economic opportunities in the US by securing work visas for international founders to unlock their potential.
Globowl;http://theglobowl.com, https://twitter.com/@theglobowl;
Gloss Genius;http://glossgenius.com, https://twitter.com/@glossgenius, http://crunchbase.com/organization/glossgenuis;GlossGenius is a smart, automated personal assistant that helps beauty professionals manage and grow their businesses
Glover Technologies;http://gloverapp.co, https://twitter.com/@gloverapp;Glover is Africa's premier Gift cards and Digital assets Marketplace
Glow Up Games;http://glowup.games, https://twitter.com/@glowupgames, http://crunchbase.com/organization/glow-up-games;Glow Up Games creates mobile games targeting women of color, using the proven power of diverse storytelling to better understand & serve this hidden market within the gaming industry.
Goally;http://goally.co, https://twitter.com/@goallyteam, http://crunchbase.com/organization/goally-llc;Goally is a behavioral science-based system that helps kids with executive functioning disabilities like ADHD or autism get on the fast-track to independence
GoalShouter;http://goalshouter.com, https://twitter.com/@GoalShouterITA, http://crunchbase.com/organization/goalshouter;99% of sport is not on TV and we provide a solution to help soccer clubs of any level to easy collect and broadcast their games to engage with their supporters.
GoChime;http://gochime.com, https://twitter.com/@gochime, http://crunchbase.com/organization/gochime;ESP/CRM Retargeting on Facebook, Twitter and more
goedle.io;http://goedle.io, https://twitter.com/@goedle_io, http://crunchbase.com/organization/goedle-io;Every user is different - AI driven marketing automation for increased engagement.
Gofer;http://gofer.fr, https://twitter.com/@gofer_fr, http://crunchbase.com/organization/gofer;The tech-powered community of hospitality professionals that reinvents work-on-demand.
GoFlyy;http://goflyy.com, https://twitter.com/@goflyyusa, http://crunchbase.com/organization/goflyy;GoFlyy powers eCommerce retailers with premium last-mile experiences.
GoKid;http://gokid.mobi, https://twitter.com/@gokid_carpool, http://crunchbase.com/organization/gokid;GoKid is a complete carpool solution for schools, teams and active families, helping parents to carpool with families they know and trust.
GoLogic;http://gologicsolutions.com, https://twitter.com/@gologic_solves, http://crunchbase.com/organization/gologic;Building the future of local logistics, and safety.
GoManda;http://gomanda.org, http://crunchbase.com/organization/gomanda;
GoMiles;http://gomiles.com, https://twitter.com/@GoMiles_Com, http://crunchbase.com/organization/gomiles;Rewards management
Gone;http://thegoneapp.com, https://twitter.com/@thegoneapp, http://crunchbase.com/organization/gone;Price, resell, ship, recycle
GoodApril;http://goodapril.com, https://twitter.com/@goodapril, http://crunchbase.com/organization/goodapril;Automated tax planning for consumers
Good Audience;http://goodaudience.com, https://twitter.com/@GoodAudience, http://crunchbase.com/organization/goodaudience;Fully managed social media for businesses
Good & Co.;http://good.co, https://twitter.com/@ingoodco, http://crunchbase.com/organization/good-co;Decode workplace relationships and culture-fit through games
Goodie Nation;http://goodienation.org, https://twitter.com/@goodienation, http://crunchbase.com/organization/goodie-nation;Goodie Nation is a social impact pre-accelerator.
Goodr;http://goodr.co, https://twitter.com/@TheGoodrCo, http://crunchbase.com/organization/goodr;Goodr is solving the surplus food supply chain problem. Our process helps make sure companies capture the maximum value of their food donations.
GoodRoads;http://goodroads.io, https://twitter.com/@goodroadsapp, http://crunchbase.com/organization/goodroads;Solving the aging roads crisis by providing data-driven solutions to communities.
Good & Well Brands;http://atthesocialclub.com, https://twitter.com/@A;
Gorgias;http://gorgias.io, https://twitter.com/@gorgiasio, http://crunchbase.com/organization/gorgias;Manage all your customer support in one place with Gorgias.
Gorilla Link;http://gorilla.link, http://crunchbase.com/organization/gorilla-link-ltd;A platform that connects IoT devices to the Internet across multiple satellite networks.
GoSave;http://gosavehq.com, https://twitter.com/@gosavers, http://crunchbase.com/organization/gosave-8230;GoSave: next generation piggy banks. We build digital piggy banks that make saving and chores fun.
goscore;http://goscore.me, http://crunchbase.com/organization/goscore;Building the FICO of Europe credit score
GoSpotCheck;http://gospotcheck.com, https://twitter.com/@gospotcheck, http://crunchbase.com/organization/gospotcheck;Mobile market research
Go To-U;http://go-tou.com, https://twitter.com/@GoToUgreen, http://crunchbase.com/organization/go-to-u;Smart e-mobility solutions
Govrn;http://govrn.io, https://twitter.com/@GovrnHQ, http://crunchbase.com/organization/govrn;A political-tech startup that aims to change the way people donate to political campaigns by enabling Outcome-Based Donations.
GrabCAD;http://grabcad.com, https://twitter.com/@GrabCAD, http://crunchbase.com/organization/grabcad;Mechanical engineering community
Grace;http://meetgrace.com, https://twitter.com/@MeetGrace, http://crunchbase.com/organization/grace-3;Grace is revolutionizing the $20b funeral industry with an end-of-life planning platform built to help families focus on what matters.
Gradient Health;http://gradienthealth.ai, https://twitter.com/@gradienthealth, http://crunchbase.com/organization/gradient-health-inc;We develop medical imaging AI diagnostics and medical imaging AI infrastructure for sponsored research.
Granular.ai;http://granular.ai, http://crunchbase.com/organization/granular-6747;Granular enables businesses to solve global-scale problems through AI powered geo-intelligence
Grapevine;http://grapevinelogic.com, https://twitter.com/@grapevinelogic, http://crunchbase.com/organization/grapevine-logic-inc;Grapevine connects consumer brands with digital stars to produce sponsored content
Graphenest;http://graphenest.com, https://twitter.com/@graphenest, http://crunchbase.com/organization/graphenium---advanced-nanotechnology;Graphenest provides a two order of magnitude cost reduction in manufacture of graphene, a wonder material that enables high-performance materials
Graphicly;http://graphicly.com, https://twitter.com/@graphicly, http://crunchbase.com/organization/graphicly;Redefining automated ebook publishing
Graphite Innovation and Technologies;http://grapheneenterprise.ca, https://twitter.com/@GIT_Graphene, http://crunchbase.com/organization/graphite-innovation-technologies;Canada's leading protective marine coatings company specialized in high-performance coatings for large vessels that reduce fuel consumption and GHG
Gravel AI;http://gravelai.com;Generating ultra-granular cosmetics ingredient market data from formulation change patterns, ingredients substitution activities, post-launch product survival rate to broad-brush ingredient adoption trends.
Gravity AI;http://gravity-ai.com, http://crunchbase.com/organization/gravityai;A platform for enterprise product teams to explore, test, procure, and integrate 3rd party AI algorithms.
Grayscale AI;http://grayscale.ai, http://crunchbase.com/organization/grayscale-ai;Grayscale produces optimization-driven AI, meant to mimic a human's neural network.
GreatHorn;http://greathorn.com, https://twitter.com/@greathorn, http://crunchbase.com/organization/greathorn;GreatHorn is a cloud security platform that helps detect and prevent spear phishing and credential theft attacks in realtime
Greendeck;http://greendeck.co, https://twitter.com/@greendeckco, http://crunchbase.com/organization/greendeck;Greendeck is a dynamic pricing engine for online retailers
Green Eye Technology;http://greeneye.ag, https://twitter.com/@GreeneyeAg, http://crunchbase.com/organization/green-eye-technology;Utilizes A.I. to disrupt the agricultural pest control process by providing precise herbicide application
Green Room App;http://greenroom.app, https://twitter.com/@getgreenroom, http://crunchbase.com/organization/green-room-app;Green Room is building the tools that let live entertainers be their own business managers by providing modern payments, tax compliance, and benefits.
Greets;http://givegreets.com;Personalized Greeting Cards and Invitations
Gridwise;http://gridwise.io, https://twitter.com/@gridwise_io, http://crunchbase.com/organization/gridwise#/entity;Gridwise uses data analytics to empower on-demand drivers, cities, and other mobility stakeholders.
GRIND Interactive;http://grindbasketball.com, https://twitter.com/@GrindBasketbal, http://crunchbase.com/organization/grind-basketball;GRIND has developed the first portable rebounding machine enabling optimal daily repetition to reach peak performance.
Grit;http://grit.bet, https://twitter.com/@GritGroup, http://crunchbase.com/organization/grit-c5c9;For culture, by culture investment in the next generation of high potential technical talent
Grit Virtual;http://gritvirtual.com, https://twitter.com/@gritvirtual, http://crunchbase.com/organization/grit-virtual-inc#section-overview;Timing is everything.
Grockit;http://grockit.com, https://twitter.com/@Grockit, http://crunchbase.com/organization/grockit#/entity;Acquired by Kaplan on July 31, 2013
Groover;http://groover.co, https://twitter.com/@HeyGroover, http://crunchbase.com/organization/groover;Reinventing music promotion
Groovv;http://groovvapp.com;
Groovy Antoid;http://groovyantoid.com, https://twitter.com/@GroovyAntoid, http://crunchbase.com/organization/groovy-antoid;Mobile and messenger gaming company building polished casual games, with cute, colorful characters and quirky, social gameplay.
Groundhog;http://groundhog.network, https://twitter.com/@GroundhogPay, http://crunchbase.com/organization/groundhog#section-overview;Groundhog is a crypto wallet and payment processing platform for merchants enabling recurring payments and other advanced features.
Group B Labs;http://linkedin.com/company/groupblabs, https://twitter.com/@GroupBLabs, http://crunchbase.com/organization/group-b-labs;Helping the 92% of new mothers who struggle with feeding by finally revolutionizing bottle prep, feeding data collection, and access to nutritional support.
